ccf-rank,abbreviation,ccf-name,publisher,url
CCF-C,ACISP,Australasia Conference on Information Security and Privacy,Springer,http://dblp.uni-trier.de/db/conf/acisp/
CCF-C,CT-RSA,Cryptographer's Track at RSA Conference,Springer,http://dblp.uni-trier.de/db/conf/ctrsa/
CCF-C,DIMVA,Detection of Intrusions and Malware & Vulnerability Assessment,,http://dblp.uni-trier.de/db/conf/dimva/
CCF-C,DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/
CCF-C,FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/
CCF-C,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",IEEE,http://dblp.uni-trier.de/db/conf/trustcom/
CCF-C,SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/
CCF-C,IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,Springer,https://dblp.uni-trier.de/db/conf/ifip11-9/index.html
CCF-C,ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/
CCF-C,ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,http://dblp.uni-trier.de/db/conf/icdf2c/
CCF-C,ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/
CCF-C,SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/
CCF-C,NSPW,New Security Paradigms Workshop,ACM,http://dblp.uni-trier.de/db/conf/nspw/
CCF-C,PAM,Passive and Active Measurement Conference,Springer,http://dblp.uni-trier.de/db/conf/pam/
CCF-C,PETS,Privacy Enhancing Technologies Symposium,Springer,http://dblp.uni-trier.de/db/conf/pet/
CCF-C,SAC,Selected Areas in Cryptography,Springer,http://dblp.uni-trier.de/db/conf/sacrypt/
CCF-C,SOUPS,Symposium On Usable Privacy and Security,USENIX,http://dblp.uni-trier.de/db/conf/soups/
CCF-C,HotSec,USENIX Workshop on Hot Topics in Security,USENIX,http://www.usenix.org/events/
CCF-C,EuroS&P,IEEE European Symposium on Security and Privacy,IEEE,https://dblp.uni-trier.de/db/conf/eurosp/index.html
CCF-C,Inscrypt,International Conference on Information Security and Cryptology,Springer,https://dblp.uni-trier.de/db/conf/cisc/index.html
CCF-A,TOPLAS,ACM Transactions on Programming Languages & Systems,ACM,http://dblp.uni-trier.de/db/journals/toplas/
CCF-A,TOSEM,ACM Transactions on Software Engineering and Methodology,ACM,http://dblp.uni-trier.de/db/journals/tosem/
CCF-A,TSE,IEEE Transactions on Software Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tse/
CCF-A,TSC,IEEE Transactions on Services Computing,IEEE,http://dblp.uni-trier.de/db/journals/tsc/
CCF-B,ASE,Automated Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ase/
CCF-B,ESE,Empirical Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ese/
CCF-B,IETS,IET Software,IET,https://dblp.uni-trier.de/db/journals/iet-sen/
CCF-B,IST,Information and Software Technology,Elsevier,http://dblp.uni-trier.de/db/journals/infsof/index.html
CCF-B,JFP,Journal of Functional Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/
CCF-B,,Journal of Software: Evolution and Process,Wiley,http://dblp.uni-trier.de/db/journals/smr/
CCF-B,JSS,Journal of Systems and Software,Elsevier,http://dblp.uni-trier.de/db/journals/jss/
CCF-B,RE,Requirements Engineering,Springer,http://dblp.uni-trier.de/db/journals/re/
CCF-B,SCP,Science of Computer Programming,Elsevier,http://dblp.uni-trier.de/db/journals/scp/
CCF-B,SoSyM,Software and System Modeling,Springer,http://dblp.uni-trier.de/db/journals/sosym/
CCF-B,STVR,"Software Testing, Verification and Reliability",Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html
CCF-B,SPE,Software: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/spe/
CCF-C,CL,"Computer Languages, Systems and Structures",Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html
CCF-C,IJSEKE,International Journal on Software Engineering and Knowledge Engineering,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html
